t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,15:37:23,0.0,76.9,12971,0.0,254,0.0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,0,7
2.0,15:37:25,36.4,77.2,13021,29.0,302,0.0,0,0,2,0,0,0,0,0,0.0,0,0,21,0,0,0,21
4.1,15:37:27,33.6,77.5,13072,92.4,371,0.0,0,0,2,0,0,0,0,0,0.0,0,0,21,0,0,0,21
6.1,15:37:29,44.6,78.2,13196,302.4,490,0.0,16,1,2,7,0,0,0,0,0.0,0,0,20,0,0,0,20
8.1,15:37:32,31.6,78.2,13195,11.5,490,0.8,16,1,2,7,0,0,0,0,0.0,0,0,20,0,0,0,20
10.2,15:37:34,31.4,78.2,13196,8.5,521,0.0,16,1,2,7,0,0,0,0,0.0,0,0,21,0,0,1,21
12.2,15:37:36,48.8,78.5,13234,229.6,538,0.8,47,3,4,7,0,1,0,0,0.0,0,0,22,0,0,1,22
14.2,15:37:38,35.7,78.4,13229,16.1,568,0.0,47,3,8,7,0,1,0,0,0.0,0,0,21,0,0,1,21
16.3,15:37:40,37.1,78.4,13224,9.2,568,0.8,47,3,8,7,0,1,0,0,0.0,0,0,21,0,0,1,21
18.3,15:37:42,31.9,78.6,13254,8.5,571,0.0,47,3,8,7,0,1,0,0,0.0,0,0,21,0,0,1,21
20.3,15:37:44,34.2,79.2,13365,5.4,571,1.5,48,3,8,7,0,1,0,0,0.0,0,0,21,0,0,1,21
22.3,15:37:46,36.7,79.8,13460,9.2,575,0.0,50,3,8,7,0,1,0,0,0.0,0,0,21,0,0,1,21
24.4,15:37:48,32.9,79.8,13464,16.1,541,0.0,50,3,6,7,0,1,0,0,0.0,0,0,21,0,0,1,21
26.4,15:37:50,35.8,79.8,13452,12.3,571,0.0,50,3,8,7,0,1,0,0,0.0,0,0,21,0,0,1,21
28.4,15:37:52,36.7,79.6,13434,41.2,572,1.5,50,3,8,7,0,1,0,0,0.0,0,0,21,0,0,1,21
30.5,15:37:54,39.3,79.7,13447,35.1,545,0.0,50,3,6,7,0,1,0,0,0.0,0,0,23,0,0,1,23
32.5,15:37:56,35.1,79.8,13463,14.4,575,6.1,111,7,12,7,0,1,0,0,0.0,0,0,21,0,0,1,21
34.6,15:37:58,32.5,79.8,13458,4.6,545,1.5,81,5,8,7,0,1,0,0,0.0,0,0,21,0,0,1,21
36.7,15:38:00,36.3,79.8,13464,12.9,541,1.5,112,7,10,7,0,1,0,0,0.0,0,0,21,0,0,1,21
38.7,15:38:02,34.0,79.9,13478,10.8,541,0.8,112,7,10,7,0,1,0,0,0.0,0,0,21,0,0,1,21
40.8,15:38:04,34.5,79.9,13479,10.0,572,0.0,112,7,12,7,0,1,0,0,0.0,0,0,21,0,0,1,21
42.8,15:38:06,30.3,80.0,13490,12.2,572,0.0,113,7,12,7,0,1,0,0,0.0,0,0,21,0,0,1,21
44.9,15:38:08,33.8,80.0,13495,22.8,580,0.8,113,7,12,7,0,1,0,0,0.0,0,0,21,0,0,1,21
46.9,15:38:10,32.5,80.0,13496,10.6,580,1.5,143,9,14,7,0,1,0,0,0.0,0,0,21,0,0,1,21
49.0,15:38:12,30.0,80.0,13498,5.3,580,0.0,143,9,14,7,0,1,0,0,0.0,0,0,21,0,0,1,21
51.0,15:38:14,37.6,80.0,13492,13.6,546,0.8,143,9,12,7,0,1,0,0,0.0,0,0,21,0,0,1,21
53.1,15:38:17,39.7,80.1,13510,9.8,546,0.0,143,9,12,7,0,1,0,0,0.0,0,0,21,0,0,1,21
55.2,15:38:19,36.1,80.3,13540,7.6,515,12.2,144,9,10,7,0,1,0,0,0.0,0,0,21,0,0,1,21
57.2,15:38:21,34.7,80.2,13528,8.3,546,0.0,144,9,12,7,0,1,0,0,0.0,0,0,21,0,0,1,21
59.3,15:38:23,36.7,80.2,13531,12.9,576,2.3,144,9,14,7,0,1,0,0,0.0,0,0,21,0,0,1,21
61.4,15:38:25,35.8,80.3,13540,8.2,576,1.5,144,9,14,7,0,1,0,0,0.0,0,0,21,0,0,1,21
63.4,15:38:27,35.9,80.2,13532,6.8,580,0.8,144,9,14,7,0,1,0,0,0.0,0,0,21,0,0,1,21
65.5,15:38:29,36.5,80.1,13516,26.1,552,0.0,114,7,10,7,0,1,0,0,0.0,0,0,21,0,0,1,21
67.6,15:38:31,37.7,80.2,13533,9.8,568,3.0,144,9,13,7,0,1,0,0,0.0,0,0,21,0,0,1,21
69.7,15:38:33,35.3,80.1,13514,6.9,548,1.6,144,9,12,7,0,1,0,0,0.0,0,0,21,0,0,1,21
71.7,15:38:35,33.3,80.1,13514,6.9,548,0.8,144,9,12,7,0,1,0,0,0.0,0,0,21,0,0,1,21
73.7,15:38:37,35.4,80.1,13509,13.1,548,0.0,144,9,12,7,0,1,0,0,0.0,0,0,21,0,0,1,21
75.8,15:38:39,37.4,79.9,13477,13.7,548,0.8,144,9,12,7,0,1,0,0,0.0,0,0,21,0,0,1,21
77.8,15:38:41,34.6,79.8,13462,10.8,548,0.0,114,7,10,7,0,1,0,0,0.0,0,0,21,0,0,1,21
79.9,15:38:43,33.0,79.9,13485,6.9,548,0.0,114,7,10,7,0,1,0,0,0.0,0,0,21,0,0,1,21
81.9,15:38:45,35.9,79.8,13464,11.5,548,0.8,114,7,10,7,0,1,0,0,0.0,0,0,21,0,0,1,21
83.9,15:38:47,33.3,79.8,13458,5.4,579,1.6,114,7,12,7,0,1,0,0,0.0,0,0,21,0,0,1,21
85.9,15:38:49,36.8,79.6,13430,12.3,579,0.0,114,7,12,7,0,1,0,0,0.0,0,0,20,0,0,1,20
88.0,15:38:51,36.2,79.6,13423,16.9,579,0.8,114,7,12,7,0,1,0,0,0.0,0,0,20,0,0,1,20
90.0,15:38:53,32.3,79.6,13423,7.7,582,1.5,83,5,10,7,0,1,0,0,0.0,0,0,20,0,0,1,20
92.0,15:38:55,32.5,79.5,13415,6.2,582,0.0,53,3,8,7,0,1,0,0,0.0,0,0,20,0,0,1,20
94.1,15:38:57,35.9,79.4,13399,4.6,548,0.0,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
96.1,15:39:00,33.1,79.5,13405,7.7,548,0.0,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
98.1,15:39:02,36.9,79.5,13401,8.4,548,0.8,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
100.2,15:39:04,36.1,79.7,13446,7.6,518,0.0,53,3,4,7,0,1,0,0,0.0,0,0,20,0,0,1,20
102.2,15:39:06,38.2,79.8,13464,9.7,548,0.0,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
104.3,15:39:08,35.3,80.2,13524,6.0,548,1.5,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
106.4,15:39:10,33.8,80.1,13510,9.0,548,0.0,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
108.5,15:39:12,31.7,80.2,13519,13.4,548,0.0,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
110.6,15:39:14,34.1,80.3,13539,10.7,548,2.3,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
112.6,15:39:16,33.7,80.3,13537,11.5,548,0.0,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
114.7,15:39:18,34.2,79.9,13471,6.9,548,0.0,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
116.7,15:39:20,36.1,80.0,13490,6.9,548,0.0,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
118.8,15:39:22,34.7,79.7,13447,12.2,548,0.0,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
120.8,15:39:24,33.2,79.9,13471,10.6,548,0.0,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
122.9,15:39:26,29.9,79.9,13473,9.8,548,0.0,53,3,6,7,0,1,0,0,0.0,0,0,20,0,0,1,20
125.0,15:39:28,37.1,79.9,13479,8.2,579,0.0,53,3,8,7,0,1,0,0,0.0,0,0,20,0,0,1,20
127.1,15:39:30,35.8,79.8,13460,12.9,579,0.0,53,3,8,7,0,1,0,0,0.0,0,0,20,0,0,1,20
129.1,15:39:33,38.3,79.3,13374,12.2,582,2.3,53,3,8,7,0,1,0,0,0.0,0,0,20,0,0,1,20
131.2,15:39:35,37.3,79.5,13410,9.9,582,0.0,53,3,8,7,0,1,0,0,0.0,0,0,20,0,0,1,20
133.2,15:39:37,30.9,79.7,13440,6.7,582,0.0,53,3,8,7,0,1,0,0,0.0,0,0,20,0,0,1,20
